,I,I_inhib,RS Pyramidal,RS Inhibitory,FS,RS Pyramidal +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,RS Inhibitory +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,FS +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate,Cb stellate +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN,STN +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$
146,0.73,0.2555,119.5743513,163.8035457,151.4998701,32.92113419,63.40250637,54.52562704,78.05464443,26.45664196,32.08663472,121.3556798,77.50350599,88.99956587
147,0.735,0.25725,120.3973536,164.5992518,152.4849582,33.16062262,64.83815156,55.24752924,78.62872299,26.86450006,32.2658714,121.5564922,78.1113972,89.43531123
148,0.74,0.259,121.2170246,165.4013569,153.4641323,33.40079004,66.29572627,55.98208931,79.20322779,27.2606905,32.44646334,121.7651583,78.70199508,89.89300903
149,0.745,0.26075,122.0317734,166.2039647,154.4386977,33.64383874,67.77504057,56.72704771,79.77504706,27.64776758,32.62775845,121.974535,79.30067747,90.31493964
150,0.75,0.2625,122.8402385,167.0054515,155.4049536,33.88681803,69.26905686,57.48721879,80.34711192,28.02578399,32.80903233,122.1601126,79.87501188,90.76100942
151,0.755,0.26425,123.6464061,167.8120913,156.3659915,34.13174913,70.77424996,58.25867343,80.91597553,28.39756648,32.99113158,122.3659901,80.47881324,91.19319776
152,0.76,0.266,124.4518674,168.6171655,157.3204651,34.37955108,72.29647367,59.04269838,81.48465976,28.76397165,33.17368587,122.5724863,81.03028233,91.59761184
153,0.765,0.26775,125.2500422,169.4307939,158.2722861,34.62744981,73.83024622,59.8384392,82.05088173,29.12540628,33.35622507,122.7549951,81.56989672,92.02423639
154,0.77,0.2695,126.0429018,170.240482,159.2135176,34.87763821,75.3714598,60.6489468,82.61700515,29.48299506,33.53983442,122.9554084,82.13500997,92.41971814
155,0.775,0.27125,126.8320684,171.0503661,160.1538462,35.12977457,76.92001531,61.47256984,83.1798564,29.83709015,33.72346836,123.151557,82.81390074,92.83604018
